,Postcode,Average price,Percentage of average London price
212,EN2 7,£541k,76%
213,EN2 8,£502k,70%
214,EN2 9,£606k,85%
215,EN3 4,£347k,49%
216,EN3 5,£387k,54%
217,EN3 6,£361k,51%
218,EN3 7,£369k,52%
219,EN4 0,£1.7M,240%
220,EN4 8,£542k,76%
221,EN4 9,£609k,85%
222,EN5 1,£648k,91%
223,EN5 2,£594k,83%
224,EN5 3,£1.0M,147%
225,EN5 5,£654k,92%
226,HA0 1,£397k,56%
227,HA0 2,£443k,62%
228,HA0 3,£498k,70%
229,HA0 4,£555k,78%
230,HA1 1,£477k,67%
231,HA1 2,£415k,58%
232,HA1 3,£628k,88%
233,HA1 4,£520k,73%
234,HA2 0,£443k,62%
235,HA2 6,£580k,81%
236,HA2 7,£584k,82%
237,HA2 8,£414k,58%
238,HA2 9,£488k,68%
239,HA3 0,£725k,102%
240,HA3 5,£444k,62%
241,HA3 6,£607k,85%
242,HA3 7,£491k,69%
243,HA3 8,£627k,88%
244,HA3 9,£486k,68%
245,HA4 0,£527k,74%
246,HA4 6,£492k,69%
247,HA4 7,£608k,85%
248,HA4 8,£606k,85%
249,HA4 9,£531k,74%
250,HA5 1,£749k,105%
251,HA5 2,£618k,87%
252,HA5 3,£869k,122%
253,HA5 4,£745k,104%
254,HA5 5,£730k,102%
255,HA6 1,£637k,89%
256,HA6 2,£1.1M,155%
257,HA7 1,£492k,69%
258,HA7 2,£652k,91%
259,HA7 3,£897k,126%
260,HA7 4,£758k,106%
261,HA8 0,£412k,58%
262,HA8 5,£483k,68%
263,HA8 6,£542k,76%
264,HA8 7,£562k,79%
265,HA8 8,£613k,86%
266,HA8 9,£632k,89%
267,HA9 0,£373k,52%
268,HA9 6,£495k,69%
269,HA9 7,£494k,69%
270,HA9 8,£470k,66%
271,HA9 9,£581k,81%
272,IG1 1,£418k,59%
273,IG1 2,£384k,54%
274,IG1 3,£494k,69%
275,IG1 4,£408k,57%
276,IG11 0,£305k,43%
277,IG11 7,£319k,45%
278,IG11 8,£242k,34%
279,IG11 9,£413k,58%
280,IG2 6,£505k,71%
281,IG2 7,£449k,63%
282,IG3 8,£433k,61%
283,IG3 9,£509k,71%
284,IG4 5,£516k,72%
285,IG5 0,£508k,71%
286,IG6 1,£515k,72%
287,IG6 2,£466k,65%
288,IG6 3,£420k,59%
289,IG7 4,£391k,55%
290,IG8 0,£851k,119%
291,IG8 7,£507k,71%
292,IG8 8,£487k,68%
293,IG8 9,£649k,91%
294,IG9 6,£564k,79%
295,KT1 1,£520k,73%
296,KT1 2,£607k,85%
297,KT1 3,£615k,86%
298,KT1 4,£648k,91%
299,KT2 5,£817k,115%
300,KT2 6,£742k,104%
301,KT2 7,£1.2M,175%
302,KT3 3,£712k,100%
303,KT3 4,£879k,123%
304,KT3 5,£671k,94%
305,KT3 6,£668k,94%
306,KT4 8,£548k,77%
307,KT5 8,£568k,80%
308,KT5 9,£608k,85%
309,KT6 4,£537k,75%
310,KT6 6,£614k,86%
311,KT6 7,£543k,76%
312,KT8 9,£1.1M,155%
313,KT9 1,£461k,65%
314,KT9 2,£453k,63%
315,N1 0,£1.0M,146%
316,N1 1,£1.2M,164%
317,N1 2,£991k,139%
318,N1 3,£745k,104%
319,N1 4,£827k,116%
320,N1 5,£622k,87%
321,N1 6,£539k,75%
322,N1 7,£846k,118%
323,N1 8,£1.1M,156%
324,N1 9,£731k,102%
325,N10 1,£735k,103%
326,N10 2,£941k,132%
327,N10 3,£1.2M,169%
328,N11 1,£470k,66%
329,N11 2,£670k,94%
330,N11 3,£575k,81%
331,N12 0,£558k,78%
332,N12 7,£942k,132%
333,N12 8,£551k,77%
334,N12 9,£565k,79%
335,N13 4,£688k,96%
336,N13 5,£543k,76%
337,N13 6,£452k,63%
338,N14 4,£559k,78%
339,N14 5,£656k,92%
340,N14 6,£712k,100%
341,N14 7,£846k,119%
342,N15 3,£583k,82%
343,N15 4,£558k,78%
344,N15 5,£511k,72%
345,N15 6,£680k,95%
346,N16 0,£997k,140%
347,N16 5,£685k,96%
348,N16 6,£699k,98%
349,N16 7,£769k,108%
350,N16 8,£782k,110%
351,N16 9,£921k,129%
352,N17 0,£375k,52%
353,N17 6,£571k,80%
354,N17 7,£446k,62%
355,N17 8,£380k,53%
356,N17 9,£425k,60%
357,N18 1,£407k,57%
358,N18 2,£361k,51%
359,N19 3,£768k,108%
360,N19 4,£686k,96%
361,N19 5,£670k,94%
362,N1C 4,£1.4M,192%
363,N2 0,£2.4M,338%
364,N2 8,£508k,71%
365,N2 9,£1.0M,145%
366,N20 0,£621k,87%
367,N20 8,£1.7M,236%
368,N20 9,£941k,132%
369,N21 1,£731k,102%
370,N21 2,£773k,108%
371,N21 3,£806k,113%
372,N22 5,£522k,73%
373,N22 6,£539k,76%
374,N22 7,£812k,114%
375,N22 8,£522k,73%
376,N3 1,£813k,114%
377,N3 2,£725k,102%
378,N3 3,£1.0M,143%
379,N4 1,£660k,92%
380,N4 2,£560k,78%
381,N4 3,£710k,99%
382,N4 4,£706k,99%
383,N5 1,£1.1M,156%
384,N5 2,£847k,119%
385,N6 4,£1.5M,213%
386,N6 5,£1.3M,179%
387,N6 6,£2.3M,321%
388,N7 0,£702k,98%
389,N7 6,£617k,86%
390,N7 7,£547k,77%
391,N7 8,£845k,118%
392,N7 9,£678k,95%
393,N8 0,£711k,100%
394,N8 7,£642k,90%
395,N8 8,£1.1M,151%
396,N8 9,£804k,113%
397,N9 0,£350k,49%
398,N9 7,£371k,52%
399,N9 8,£359k,50%
400,N9 9,£356k,50%
401,NW1 0,£586k,82%
402,NW1 1,£681k,95%
403,NW1 2,£893k,125%
404,NW1 3,£601k,84%
405,NW1 4,£3.4M,472%
406,NW1 5,£1.1M,148%
407,NW1 6,£940k,132%
408,NW1 7,£1.5M,214%
409,NW1 8,£1.8M,253%
410,NW1 9,£888k,124%
411,NW10 0,£399k,56%
412,NW10 1,£777k,109%
413,NW10 2,£621k,87%
414,NW10 3,£1.2M,169%
415,NW10 4,£581k,81%
416,NW10 5,£920k,129%
417,NW10 6,£657k,92%
418,NW10 7,£482k,68%
419,NW10 8,£420k,59%
420,NW10 9,£473k,66%
421,NW11 0,£1.1M,151%
422,NW11 6,£1.4M,196%
423,NW11 7,£1.4M,198%
424,NW11 8,£1.2M,168%
425,NW11 9,£1.0M,140%
426,NW2 1,£599k,84%
427,NW2 2,£967k,135%
428,NW2 3,£702k,98%
429,NW2 4,£949k,133%
430,NW2 5,£668k,94%
431,NW2 6,£701k,98%
432,NW2 7,£562k,79%
433,NW3 1,£2.4M,337%
434,NW3 2,£1.3M,179%
435,NW3 3,£1.6M,222%
436,NW3 4,£1.2M,164%
437,NW3 5,£1.5M,206%
438,NW3 6,£1.8M,246%
439,NW3 7,£2.9M,406%
